sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2053805,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects DNS queries associated with an exploit kit, indicating an attempt to gain initial access through a malicious domain, which aligns with the tactics and techniques used in initial access phases.",ext to int,,,,,,3,Malware,"The rule detects a DNS query related to an exploit kit, indicating potential malicious activity but not confirming a successful compromise.","dns,exploit,lookup,kit,Exploit_Kit**"
2053806,Initial Access,Initial Access,TA0001,Spear Phishing,T1566,"The rule detects DNS queries associated with exploit kits, which are often used in initial access phases to deliver malicious payloads, indicating potential spear phishing attempts.",ext to int,,,,,,4,Malware,"The rule detects a DNS query related to an exploit kit domain, indicating potential malicious activity, but does not confirm a successful compromise.","dns,exploit,kit,lookup,Exploit_Kit**"
2053808,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects TLS traffic indicating the use of an exploit kit targeting a specific domain, which is commonly associated with initial access through exploiting vulnerabilities in web applications.",int to ext,,,,,,6,Malware,"The rule detects a potential exploit kit domain in TLS SNI, indicating a likely attempt to deliver malware, which can lead to a successful compromise.","exploit,tls,sni,domain,Exploit_Kit**"
2053809,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects TLS traffic with a specific domain associated with exploit kits, indicating an attempt to gain initial access through exploitation of vulnerabilities in client applications.",ext to int,,,,,,6,Malware,"The rule detects a domain associated with an exploit kit, indicating a potential successful compromise rather than just a phishing attempt or exploit string.","exploit,sni,tls,domain,Exploit_Kit**"
2053850,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects DNS queries for a known malicious domain associated with exploit kits, indicating an attempt to gain initial access through a drive-by compromise.",ext to int,,,,,,3,Malware,The rule detects a domain associated with an exploit kit but does not indicate a successful compromise.,"exploit,dns,domain,clearfake,ClearFake, Exploit_Kit**"
2053851,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a TLS SNI request associated with the ClearFake exploit kit, which typically targets vulnerabilities in web applications to gain initial access.",ext to int,,,,,,4,Malware,"The rule detects a potential exploit kit domain associated with malware, but does not indicate a successful compromise.","exploit,kit,tls,sni,ClearFake, Exploit_Kit**"
2053852,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects DNS queries related to a known exploit kit, which typically indicates an attempt to gain initial access through malicious domain lookups, often associated with drive-by download attacks.",ext to int,,,,,,4,Malware,"The rule detects a DNS query related to an exploit kit domain, indicating potential malicious activity but does not confirm a successful compromise.","exploit,dns,lookup,kit,Exploit_Kit**"
2053853,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects DNS queries for a domain associated with an exploit kit, indicating an attempt to exploit vulnerabilities in client endpoints, which aligns with the Initial Access phase of an attack.",ext to int,,,,,,4,Malware,"The rule detects a DNS query related to an exploit kit, indicating potential malicious activity, but not a confirmed successful compromise.","dns,exploit,lookup,kit,Exploit_Kit**"
2053854,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a DNS query for a domain associated with an exploit kit, indicating an attempt to gain initial access through potentially malicious web applications or services.",ext to int,,,,,,4,Malware,"The rule detects a DNS query related to an exploit kit domain, indicating potential malicious activity, but does not confirm a successful compromise.","exploit,dns,lookup,chemsentinel,Exploit_Kit**"
2053855,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects DNS queries associated with an exploit kit, indicating an attempt to gain initial access through a potentially malicious domain, which aligns with the Initial Access phase.",ext to int,,,,,,4,Malware,"The rule detects a DNS query for a known exploit kit domain, indicating potential malicious activity but not a confirmed successful compromise.","dns,exploit,lookup,kit,Exploit_Kit**"
2053856,Initial Access,Initial Access,TA0001,Malicious Link,T1203,"The rule detects DNS queries for a domain associated with an exploit kit, indicating an attempt to gain initial access through malicious links or payloads.",ext to int,,,,,,3,Malware,"The rule detects a DNS query for a domain associated with an exploit kit, but does not indicate a successful compromise.","exploit,dns,lookup,kit,Exploit_Kit**"
2053857,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects DNS queries related to a domain associated with an exploit kit, indicating an attempt to compromise a client endpoint, which aligns with the Initial Access phase.",ext to int,,,,,,4,Malware,"The rule detects a DNS query for a known exploit kit domain, indicating potential malicious activity, but does not confirm a successful compromise.","exploit,dns,query,kit,Exploit_Kit**"
2053858,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects DNS queries related to a known exploit kit, indicating an attempt to compromise a client endpoint through malicious domain lookups, which aligns with the Initial Access phase.",ext to int,,,,,,4,Malware,"The rule detects a potential exploit kit domain in a DNS query, indicating possible malicious intent, but does not confirm a successful compromise.","exploit,dns,lookup,kit,Exploit_Kit**"
2053859,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects TLS traffic that indicates the use of an exploit kit targeting web browsers, which aligns with initial access attempts by attackers exploiting vulnerabilities in public-facing applications.",int to ext,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a domain associated with an exploit kit in TLS SNI, indicating a potential successful compromise or exploitation attempt targeting client endpoints.","exploit,tls,domain,sni,Exploit_Kit**"
2053860,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a potential exploit kit targeting a web browser, which aligns with initial access techniques where attackers leverage vulnerabilities in public-facing applications to gain entry.",int to ext,,,,,,6,Malware,"The rule indicates a potential exploit kit targeting clients, suggesting a successful compromise may be occurring.","exploit,tls,domain,sni,Exploit_Kit**"
