sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2039045,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a domain associated with external IP lookups, which could indicate a command and control mechanism used by malware to communicate with an external server.",ext to int,,,,,,2,Phishing,"The rule detects a DNS query for a domain associated with external IP lookups, which could indicate reconnaissance or benign activity. It does not indicate a successful compromise.","dns,lookup,anomaly,external"
2039046,Discovery,Reconnaissance,TA0043,Domain Discovery,T1016,"The rule identifies DNS queries for a specific domain, which is indicative of reconnaissance activity as attackers often query domains to gather information about potential targets.",ext to int,,,,,,2,Phishing,"The rule detects a DNS query for a domain associated with free web hosting, which may indicate potential phishing activity, but does not confirm a successful compromise.","dns,anomaly,info,activity"
2039064,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known command and control (CnC) domain associated with mobile malware, indicating an attempt to establish communication with an external server for control purposes.",ext to int,,,,,,6,Command and Control (C2),"The rule indicates a successful detection of a known Trojan-Spy malware domain, which suggests potential compromise of mobile devices.","mobile,c2,dns,malware"
2039070,Discovery,Reconnaissance,TA0043,Application Layer Protocol,T1071,"The rule detects HTTP 404 responses containing JavaScript variables, which may indicate reconnaissance activity where an attacker is probing for vulnerabilities or misconfigurations in web applications.",ext to int,,,,,,3,Malware,"The rule detects a 404 response with a JavaScript variable, which indicates potential malicious activity but does not confirm a successful compromise.","http,anomaly,response,javascript"
2039091,Exfiltration,Exfiltration Over Web Service,TA0010,Exfiltration Over Web Service,T1041,"The rule detects HTTP POST requests with specific parameters that suggest data is being exfiltrated from the client endpoint to an external server, indicative of exfiltration activity.",ext to int,,,,,,4,Data Exfiltration,"The rule detects potential exfiltration of data via HTTP POST requests, but does not confirm a successful compromise.","exfiltration,fingerprint,http,anomaly"
2039178,Initial Access,Initial Access,TA0001,External Remote Services,T1133,"The rule detects DNS queries to a file sharing service, which could indicate an attempt to access external services for initial access to a network.",ext to int,,,,,,2,Malware,"The rule detects DNS lookups related to a file sharing service, which may indicate potential misuse but does not confirm a successful compromise.","dns,file,anomaly,informational"
2039180,Discovery,Network Service Discovery,T1046,Network Service Discovery,T1046,"The rule detects file sharing services in TLS traffic, indicating potential reconnaissance or discovery of network services that could be exploited for further malicious activity.",ext to int,,,,,,3,Miscellaneous,The rule detects a domain associated with file sharing services but does not indicate a successful compromise or malicious activity.,"file,tls,anomaly,sni"
2039181,Discovery,Discovery,TA0007,Query Database,T1210,"The rule observes a specific SQL query related to SPID, indicating an attempt to gather information about the SQL Server's process IDs, which aligns with discovery activities.",ext to int,,,,,,3,Miscellaneous,"The rule detects a query related to MSSQL but does not indicate a successful compromise, thus receiving a low impact score.","mssql,query,anomaly,info"
2039188,Discovery,Discovery,T1083,File and Directory Discovery,T1083,"The rule detects the use of the sp_addextendedproc command, which may indicate reconnaissance or discovery activity within an SQL Server environment, potentially looking for ways to extend functionality or exploit vulnerabilities.",any to int,,,,,,4,Miscellaneous,The rule detects a command related to MSSQL but does not indicate a successful compromise or exploitation.,"mssql,anomaly,command,info"
2039190,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects a keylogger attempting to communicate with an external server to retrieve the infected machine's IP address, indicating potential command and control activity.",ext to int,,,,,,5,Malware,"The rule detects a potential keylogger activity requesting an external IP address, indicating possible compromise, but does not confirm a successful compromise.","keylogger,http,external,anomaly"
2039428,Command and Control,Command and Control,T1071,Application Layer Protocol,T1071.001,"The rule detects a DNS query for a known command and control domain associated with mobile malware, indicating an attempt by the malware to communicate back to its operator.",ext to int,,,,,,7,Command and Control (C2),"The rule detects a known Trojan-Ransomware domain associated with mobile malware, indicating a successful compromise and potential C2 activity.","mobile,ransomware,dns,c2"
2039429,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known command and control (CnC) domain associated with mobile malware, indicating that the malware may be communicating with its CnC server to receive commands or exfiltrate data.",ext to int,,,,,,6,Command and Control (C2),"The rule detects a DNS lookup for a known CnC domain associated with a mobile malware Trojan, indicating a successful compromise.","dns,trojan,ransomware,mobile"
2039431,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS (DoH) traffic, which can be used by attackers to establish command and control channels while evading detection by traditional security solutions.",ext to int,,,,,,2,Miscellaneous,The rule detects DNS over HTTPS traffic which could indicate benign usage or misconfiguration. No successful compromise is detected.,"dns,tls,anomaly,informational,DoH**"
2039432,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS traffic to Adguard, which could indicate a potential command and control communication channel being established using a legitimate application layer protocol.",ext to int,,,,,,2,Malware,"The rule detects a DNS over HTTPS certificate related to Adguard, which is not indicative of a successful compromise but rather an informational alert about potential anomalous traffic.","dns,https,anomaly,client,DoH**"
2039433,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS (DoH) traffic, which is often used by attackers to establish command and control channels while evading detection. This indicates potential command and control activity.",ext to int,,,,,,3,Miscellaneous,"The rule detects DNS over HTTPS traffic related to AhaDNS, which is not indicative of a successful compromise but rather informational. It does not directly point to a known threat or compromise.","dns,https,anomaly,certificate,DoH**"
2039434,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS (DoH) traffic, which can be used by attackers to establish command and control channels while evading detection mechanisms. This aligns with the Command and Control tactic as it indicates potential malicious communication.",ext to int,,,,,,3,Miscellaneous,"The rule detects DNS over HTTPS certificate information, which is not indicative of a successful compromise but rather an informational alert regarding potential anomalies in network traffic.","doh,tls,anomaly,client,DoH**"
2039435,Discovery,Network Discovery,T1016,Network Service Discovery,T1046,"The rule detects DNS over HTTPS traffic, which can be used by attackers to discover network services and endpoints while maintaining privacy. This indicates a potential reconnaissance phase where an attacker is gathering information about network services.",ext to int,,,,,,2,Miscellaneous,"The rule detects a DNS over HTTPS certificate inbound, which indicates potential misconfiguration or benign traffic rather than a successful compromise.","dns,tls,anomaly,informational,DoH**"
2039436,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS traffic, which can be used for command and control communications by masking malicious traffic within legitimate protocols.",ext to int,,,,,,3,Miscellaneous,"The rule detects a DNS over HTTPS certificate from an external source, which may indicate benign activity or misconfiguration rather than a confirmed threat.","dns,https,certificate,anomaly,DoH**"
2039437,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS traffic, which can be used by attackers to establish command and control channels while evading detection. This suggests potential malicious activity related to command and control operations.",ext to int,,,,,,2,Miscellaneous,The rule detects a DNS over HTTPS certificate but does not indicate a successful compromise or a clear malicious intent. It is categorized as informational and should be investigated further alongside other alerts.,"dns,tls,anomaly,informational,DoH**"
2039438,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS (DoH) traffic, which can be used to establish command and control channels, making it relevant to the Command and Control phase.",ext to int,,,,,,3,Miscellaneous,The rule detects DNS over HTTPS traffic but does not indicate a successful compromise or malicious activity. It is informational and may warrant further investigation but does not pose a high security threat.,"doh,dns,certificate,anomaly,DoH**"
2039439,Discovery,Reconnaissance,TA0043,Network Service Scanning,T1046,"The rule detects DNS queries for a URL shortener service, which could indicate reconnaissance activity as attackers may use such services to obscure their command and control infrastructure or to gather information about potential targets.",ext to int,,,,,,2,Miscellaneous,"The rule detects a DNS query for a URL shortener service, which is often used for benign purposes and does not indicate a successful compromise.","dns,anomaly,info,service"
2039446,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS (DoH) traffic, which can be used for command and control communications, indicating potential malicious activity related to data exfiltration or remote control of compromised systems.",ext to int,,,,,,3,Malware,"The rule detects DNS over HTTPS traffic related to a known domain but does not indicate a successful compromise, thus a low impact score.","dns,tls,anomaly,info,DoH**"
2039447,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS traffic, which can be used to establish a command and control channel, indicating potential malicious activity related to remote control of compromised systems.",ext to int,,,,,,3,Miscellaneous,"The rule detects a specific DNS over HTTPS certificate but does not indicate a successful compromise or malicious intent, thus the low impact score.","dns,https,certificate,anomaly,DoH**"
2039448,Discovery,Network Discovery,T1016,Network Service Discovery,T1046,"The rule detects DNS over HTTPS traffic, which can indicate reconnaissance activities as attackers may use this to discover services and endpoints within a network while attempting to evade detection.",ext to int,,,,,,3,Miscellaneous,"The rule detects DNS over HTTPS traffic, which is not inherently malicious and does not indicate a successful compromise.","dns,https,certificate,anomaly,DoH**"
2039449,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS (DoH) traffic, which can be used by attackers to establish command and control channels while evading detection. This behavior aligns with the Command and Control tactic in the MITRE ATT&CK framework.",ext to int,,,,,,3,Miscellaneous,The rule detects DNS over HTTPS traffic related to a specific certificate but does not indicate a successful compromise or a clear malicious intent.,"dns,tls,anomaly,certificate,DoH**"
2039450,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS traffic, which can be used for command and control communications, indicating potential malicious activity.",ext to int,,,,,,3,Miscellaneous,The rule detects DNS over HTTPS traffic related to a specific domain but does not indicate a successful compromise or clear malicious activity.,"dns,tls,anomaly,certificate,DoH**"
2039451,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS (DoH) traffic, which can be used to establish command and control channels by hiding malicious communications within legitimate traffic patterns.",ext to int,,,,,,3,Miscellaneous,"The rule detects DNS over HTTPS traffic, which is not indicative of a successful compromise but rather an informational alert about potential anomalous behavior.","tls,dns,anomaly,client,DoH**"
2039452,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS traffic, which can be used for command and control communications, indicating potential malicious activity attempting to communicate with external servers.",ext to int,,,,,,2,Miscellaneous,"The rule detects DNS over HTTPS certificate information, which is informational and does not indicate a successful compromise or a direct threat.","dns,tls,anomaly,informational"
