sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2834629,Initial Access,Drive-by Compromise,T1189,Malicious Flash Object,T1203.002,"The rule detects a DNS query to a domain associated with fake Flash install campaigns, indicating an attempt to exploit users through malicious content, which aligns with initial access tactics.",ext to int,,,,,,4,Malware,"The rule detects a DNS query to a domain associated with fake Flash install campaigns, indicating potential malware but not a confirmed compromise.","dns,callback,client,abuse"
2834630,Initial Access,Initial Access,TA0001,Spear Phishing Link,T1566.001,"The rule detects a DNS query to a domain associated with a fake flash install campaign, which is indicative of an initial access technique where users may be tricked into visiting a malicious site through phishing tactics.",ext to int,,,,,,4,Social Engineering,"The rule detects a potential scam callback domain related to social engineering, but does not indicate a successful compromise.","scam,dns,callback,social"
2834664,Initial Access,Command and Control,C2,Domain Generation Algorithms,T1071.001,"The rule detects a DNS query for a known malicious domain, indicating potential initial access through command and control mechanisms often used by malware to communicate with its operators.",ext to int,,,,,,3,Malware,The rule detects a potentially malicious domain in DNS queries but does not indicate a successful compromise.,"dns,trojan,abuse,lookup"
2834668,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects exploit kit activity, indicating an attempt to redirect users to malicious domains, which aligns with the tactics used for initial access to compromise client endpoints.",ext to int,,,,,,7,Malware,"The rule detects a redirect to a probable malicious domain serving up malware, indicating a successful compromise.","redirect,exploit,tds,http,TDS**"
2834718,Initial Access,Execution,TA0002,Command and Scripting Interpreter,T1059,"The rule detects the use of PowerShell scripts that are often employed by attackers to execute malicious commands, indicating an initial access attempt through the execution of scripts.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful compromise involving a malicious PowerShell script indicative of exploit kit activity, which can lead to further exploitation and control of the endpoint.","exploit,powershell,inbound,malicious,T1027, T1071, T1086**"
2834729,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware (Trojan-Banker.AndroidOS.Asacub.a) communicating with a command and control server using HTTP POST requests, indicating an active C2 channel for exfiltrating data.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful check-in of a Trojan banker malware, indicating a confirmed compromise of a mobile device and potential data exfiltration.","trojan,mobile,c2,checkin,Android**"
2834730,Collection,Data Collection,TA0010,Data from Information Repositories,T1213,"The rule detects SMS exfiltration via SMTP, indicating that the malware is collecting sensitive data (SMS) and sending it to an external server, which aligns with the data collection phase of an attack.",ext to int,,,,,,7,Malware,"The rule detects a successful exfiltration of data via SMS, indicating a compromised mobile device.","mobile,exfiltration,spyware,trojan,Android**"
2834731,Initial Access,Execution,T1203,Exploitation for Client Execution,T1203.001,"The rule detects Android mobile malware that may exploit vulnerabilities to gain access and execute malicious payloads on mobile devices, indicating initial access through exploitation.",int to ext,,,,,,8,Malware,The rule detects a successful infection of mobile malware that can compromise sensitive data and device functionality.,"mobile,trojan,smtp,android,Android**"
2834737,Initial Access,Reconnaissance,TA0043,Domain Generation Algorithms,T1568.002,"The rule detects DNS queries to a known malicious domain, indicating potential reconnaissance activity by an attacker attempting to establish communication with a dynamic DNS provider commonly used for malicious purposes.",ext to int,,,,,,3,Phishing,"The rule detects a DNS query to a domain known for malicious activity, but does not confirm a successful compromise.","dns,query,anomaly,hostile"
2834815,Initial Access,Command and Control,C2,Application Layer Protocol,T1071,"The rule detects communication from a mobile malware app to its command and control server, indicative of initial access and ongoing control over the infected device, fitting within the Command and Control tactic.",ext to int,,,,,,8,Ransomware,"The rule detects a successful compromise involving an Android ransomware/extortion app that locks the device and demands payment, indicating a significant security threat.","ransom,extortion,mobile,c2,Extortion, Ransom**"
