sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2045897,Discovery,Network Discovery,T1016,Network Service Discovery,T1046,"The rule detects DNS over HTTPS (DoH) domains, indicating potential reconnaissance activities where an attacker is probing network services for information or to identify targets, fitting within the Discovery phase.",ext to int,,,,,,3,Miscellaneous,"The rule detects DNS over HTTPS domains, which could indicate anomalous behavior but does not confirm a successful compromise.","dns,tls,anomaly,info,DoH**"
2045898,Collection,Collection,TA0009,Data from Information Repositories,T1213,"The rule detects DNS over HTTPS traffic, which may indicate that an attacker is exfiltrating data or collecting information using encrypted channels, fitting into the Collection phase.",ext to int,,,,,,3,Miscellaneous,"The rule detects DNS over HTTPS activity, which could indicate potential anomalies but does not confirm a successful compromise.","dns,https,anomaly,info,DoH**"
2045899,Discovery,Network Service Discovery,T1046,DNS over HTTPS,T1071.001,"The rule detects DNS over HTTPS traffic, which can be used by attackers to discover network services and exfiltrate data while evading detection, indicating potential reconnaissance activity.",ext to int,,,,,,3,Miscellaneous,The rule detects DNS over HTTPS domains that may indicate anomalous behavior but does not confirm a successful compromise.,"dns,anomaly,tls,info,DoH**"
2045900,Collection,Collection,TA0009,Data from Information Repositories,T1213,"The rule is designed to detect DNS over HTTPS traffic, which can be used to hide data exfiltration or command and control communications. This aligns with the Collection phase as it indicates potential attempts to gather or exfiltrate data.",ext to int,,,,,,3,Miscellaneous,The rule detects potential anomalies related to DNS over HTTPS but does not indicate a successful compromise or a specific threat.,"dns,tls,anomaly,info,DoH**"
2045901,Discovery,Network Service Discovery,T1046,DNS over HTTPS,T1071.001,"The rule detects DNS over HTTPS traffic, which can be used by attackers to conceal their command and control communications or to discover network services, indicating potential reconnaissance activities.",ext to int,,,,,,3,Miscellaneous,"The rule detects a DNS over HTTPS domain but does not indicate a successful compromise; hence, it is assigned a lower impact score.","dns,https,anomaly,info,DoH**"
2045902,Discovery,Network Discovery,T1016,System Network Configuration Discovery,T1016.001,"The rule detects DNS over HTTPS traffic, which could indicate the discovery of network services or configurations by an attacker utilizing encrypted DNS queries to evade detection.",ext to int,,,,,,3,Miscellaneous,"The rule detects a DNS over HTTPS domain, which is informational and does not indicate a successful compromise. It highlights potential anomalies but lacks direct evidence of malicious activity.","dns,tls,anomaly,information,DoH**"
2045903,Discovery,Network Service Discovery,T1046,DNS over HTTPS,T1071.001,"The rule detects DNS over HTTPS traffic, which can indicate an attempt to discover network services or exfiltrate data while evading detection. This aligns with the Discovery phase as it involves gathering information about the network.",ext to int,,,,,,3,Miscellaneous,"The rule detects DNS over HTTPS domains, which may indicate anomalous activity but does not confirm a successful compromise.","dns,https,anomaly,info,DoH**"
2045904,Discovery,Network Service Discovery,T1046,DNS over HTTPS,T1071.001,"The rule detects DNS over HTTPS traffic, which is often used by attackers to obfuscate their network communications and gather information about the network environment, fitting within the Discovery phase.",ext to int,,,,,,3,Malware,The rule detects DNS over HTTPS domains which could indicate anomalous behavior but does not confirm a successful compromise.,"dns,https,anomaly,information,DoH**"
2045905,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS (DoH) traffic, which is often used by attackers for command and control communications to obscure their activities and maintain persistence in a network.",ext to int,,,,,,3,Miscellaneous,"The rule detects DNS over HTTPS domain usage, which is not indicative of a successful compromise but rather an observation of potentially suspicious activity. Thus, it is assigned a lower impact score.","dns,https,anomaly,info,DoH**"
2045906,Discovery,Network Service Discovery,T1046,DNS over HTTPS,T1071.001,"The rule detects DNS over HTTPS traffic, which can be used for network reconnaissance and to exfiltrate data while evading detection, aligning it with the Discovery phase.",ext to int,,,,,,2,Malware,The rule detects a DNS over HTTPS domain that could indicate anomalous activity but does not confirm a successful compromise.,"dns,tls,anomaly,info,DoH**"
