sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2806198,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware Trojan that communicates with a command and control server, indicating an established connection for data exfiltration, which aligns with the Command and Control phase of an attack.",ext to int,,,,,,8,Malware,"The rule detects a successful check-in from a mobile Trojan, indicating a potential active compromise of the device.","trojan,mobile,c2,exfiltration,Android**"
2806200,Initial Access,Drive-by Compromise,T1189,Malicious File,T1203,"The rule detects HTTP GET requests for a casino-related MSI installer, which could indicate an attempt to deliver a malicious file or exploit through a compromised website, aligning with initial access methods.",ext to int,,,,,,3,Malware,"The rule detects a potential download of a Windows Installer file associated with online casino games, which may be benign or indicative of unwanted software, but does not confirm a successful compromise.","policy,anomaly,http,installation"
2806202,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over Command and Control Channel,T1041,"The rule detects malware communication with a command and control server through specific HTTP requests, indicating an active C2 channel for exfiltration of data.",ext to int,,,,,,7,Command and Control (C2),"The rule detects a successful check-in of a known mobile malware (Tetus.A) to a command and control server, indicating an active compromise.","mobile,trojan,c2,exfiltration,Android**"
2806203,Command and Control,Command_And_Control**,TA0037**,Exfiltration_Over_C2_Channel,T1041,"The rule detects a mobile malware backdoor that communicates with a command and control server using HTTP POST requests, indicating an attempt to exfiltrate data over a C2 channel.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a backdoor malware communicating with a command and control server, indicating a successful compromise of the mobile device.","mobile,trojan,c2,checkin,Android**"
2806204,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware backdoor communicating with a command and control server, indicating that it is likely used for exfiltration of data over the established C2 channel.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule indicates a successful compromise with a backdoor Android malware that communicates with a command and control server, suggesting a high impact on network security.","mobile,backdoor,command,exfiltration,Android**"
2806210,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule is designed to detect communication from a mobile malware variant to a command and control server, indicating that the malware is likely exfiltrating data or receiving commands, which aligns with the Command and Control tactic.",ext to int,,,,,,7,Command and Control (C2),"The rule detects a successful check-in of mobile malware to a command and control server, indicating an active compromise of a device.","mobile,trojan,command,exfiltration,Android**"
2806212,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware check-in command, indicating that the malware is communicating with its command and control server to receive instructions or exfiltrate data.",ext to int,,,,,,7,Command and Control (C2),"The rule detects a successful check-in from a mobile malware Trojan, indicating a potential compromise of a mobile device that is actively communicating with a command and control server.","mobile,trojan,command,exfiltration,Android**"
2806220,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware's check-in behavior, indicative of a command and control channel being established for exfiltrating data.",ext to int,,,,,,8,Malware,"The rule detects a successful check-in from a mobile malware variant (TrojanSMS.Agent.JY), indicating a confirmed compromise of a mobile device, which can lead to further exploitation or data exfiltration.","trojan,c2,mobile,http,Android**"
2806221,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects traffic to a known geo-location service associated with VPN usage, which can indicate attempts to mask command and control communications or exfiltrate data while concealing the source.",int to ext,,,,,,3,Data Breach,"The rule detects a GeoIP lookup to a potentially suspicious domain, indicating possible data leakage or policy violation, but does not confirm a successful compromise.","geoip,anomaly,http,policy"
2806223,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule targets vulnerabilities in web browsers that can be exploited to gain unauthorized access to client endpoints, aligning with the Initial Access phase of the attack lifecycle.",ext to int,CVE-2013-1296,4/9/13 22:55,10,8.6,"The Remote Desktop ActiveX control in mstscax.dll in Microsoft Remote Desktop Connection Client 6.1 and 7.0 does not properly handle objects in memory, which allows remote attackers to execute arbitrary code via a web page that triggers access to a deleted object, and allows remote RDP servers to execute arbitrary code via unspecified vectors that trigger access to a deleted object, aka ""RDP ActiveX Control Remote Code Execution Vulnerability.""",8,Advanced Persistent Threats (APTs),"The rule detects a potential remote code execution vulnerability that can lead to a successful compromise of client endpoints, indicating a significant security risk.","remote,code,execution,client,Web_Client_Attacks**"
