sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2025730,Initial Access,Initial Access,TA0001,Phishing,T1566,"The rule detects a DNS lookup associated with a known mobile malware campaign, indicating an attempt to gain initial access to a mobile device through malicious means, such as phishing or malicious downloads.",ext to int,,,,,,6,Malware,"The rule detects a DNS lookup associated with a known mobile malware family (iOS/Bahamut), indicating a potential successful compromise on mobile clients.","dns,malware,trojan,mobile,iOS**"
2025731,Initial Access,Initial Access,TA0001,External Remote Services,T1133,"The rule detects a DNS query associated with malicious mobile malware targeting iOS devices, indicating an attempt to gain initial access through a compromised application or service.",ext to int,,,,,,6,Malware,"The rule detects a DNS lookup related to a known mobile malware campaign, indicating a potential successful compromise on iOS devices.","dns,malware,mobile,trojan,iOS**"
2025792,Initial Access,Exploitation,TA0041,Exploitation of Vulnerability,T1203,"The rule detects an attempt to exploit a vulnerability in PolarisOffice, indicating an initial access attempt through insecure library loading.",int to ext,CVE-2018-12589,6/28/18 14:29,6.4,8.6,Polaris Office 2017 8.1 allows attackers to execute arbitrary code via a Trojan horse puiframeworkproresenu.dll file in the current working directory.,7,Advanced Persistent Threats (APTs),"The rule detects an attempt to exploit a known vulnerability (CVE-2018-12589) in PolarisOffice, indicating a successful compromise of a client endpoint.","library,insecure,exploit,client"
2025831,Initial Access,Phishing,T1566,Spear Phishing Link,T1566.001,"The rule detects a specific scam landing page that is indicative of a phishing attempt, which is often used to gain initial access to user credentials or systems.",ext to int,,,,,,6,Social Engineering,"The rule detects a tech support scam landing page, indicating a successful compromise attempt targeting users, which can lead to further exploitation.","social,scam,http,client,Tech Support Scam**"
2025872,Initial Access,Phishing,T1566,Spear Phishing Link,T1566.001,"The rule detects a fake 404 page with a hidden login form, which is often used in phishing attacks to capture credentials, indicating an attempt at initial access.",ext to int,,,,,,7,Malware,"The rule detects a successful compromise attempt through a fake 404 page with a hidden login form, indicating potential credential harvesting.","fake,login,http,trojan"
2025880,Command and Control,Command and Control,TA0011,Exfiltration Over C2 Channel,T1041,"The rule detects a beaconing behavior indicative of data theft via a command and control channel, which aligns with the Command and Control tactic in the MITRE ATT&CK framework.",int to ext,,,,,,8,Data Exfiltration,"The rule detects a potential successful data theft through a command and control beacon, indicating a compromised client endpoint.","data,theft,beacon,client,c2, Stealer**"
2025895,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects communication patterns indicative of a mobile malware (Android Golden Rat) establishing a command and control channel, which is typically used for exfiltration of data.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful command-and-control communication from a mobile malware variant, indicating a potential compromise of the targeted mobile client.","mobile,trojan,c2,exfiltration,Android**"
2025896,Initial Access,Initial Access,TA0001,Phishing,T1566,"The rule detects a DNS query related to a known malicious domain used in mobile malware campaigns, indicating an attempt to gain initial access to a device through phishing or malicious links.",ext to int,,,,,,6,Malware,"The rule detects a specific DNS query associated with mobile malware targeting iOS devices, indicating a successful compromise rather than just a potential threat.","dns,malware,trojan,mobile"
2025897,Initial Access,Initial Access,TA0001,Phishing,T1566,"The rule detects a malicious DNS query associated with mobile malware, indicating an attempt to gain initial access to a device through phishing or similar techniques.",ext to int,,,,,,4,Malware,The rule detects a DNS lookup related to mobile malware but does not confirm a successful compromise.,"dns,mobile,trojan,lookup"
2025898,Initial Access,Initial Access,TA0001,Phishing,T1566,"The rule detects a DNS query related to a known mobile malware, indicating an attempt to access a malicious domain, which aligns with initial access techniques such as phishing or malicious downloads targeting mobile devices.",ext to int,,,,,,6,Malware,"The rule detects a DNS query related to a known mobile malware campaign targeting iOS devices, indicating a successful compromise.","dns,trojan,mobile,malware"
2025899,Initial Access,Initial Access,TA0001,Phishing,T1566,"The rule detects a DNS query associated with a known malicious domain used in mobile malware campaigns, indicating an attempt to gain initial access to the mobile device.",ext to int,,,,,,6,Malware,"The rule detects a DNS query related to known mobile malware (iOS/Bahamut), indicating a potential successful compromise of mobile devices, which justifies an impact score above 5.","dns,malware,mobile,trojan"
