sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2050208,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule is detecting an exploit kit that is likely being used to gain initial access to systems through vulnerabilities in web applications, indicated by the detection of a specific domain associated with such kits.",ext to int,,,,,,6,Malware,"The rule detects a potential exploit kit domain in TLS SNI, indicating a possible successful compromise targeting client endpoints, which raises the impact score above 5.","exploit,tls,domain,sni,Exploit_Kit**"
2050209,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit utilizing TLS SNI to target clients, indicative of an initial access attempt through a public-facing application.",int to ext,,,,,,6,Malware,"The rule detects a potential successful compromise involving an exploit kit, which can lead to malware deployment.","exploit,tls,sni,domain,Exploit_Kit**"
2050210,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit attempting to access a vulnerable web application via TLS, indicating an initial access attempt by the attacker.",int to ext,,,,,,5,Malware,"The rule detects potential exploitation activity via an exploit kit, but does not confirm a successful compromise.","exploit,tls,sni,domain,Exploit_Kit**"
2050211,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic associated with an exploit kit that targets vulnerabilities in web applications, indicating an attempt to gain initial access to the network.",ext to int,,,,,,6,Malware,"The rule detects a potential exploit kit domain in TLS SNI, indicating a successful compromise may be occurring, justifying a score above 5.","exploit,tls,domain,sni,Exploit_Kit**"
2050212,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit targeting web browsers, indicating an attempt to gain initial access through vulnerabilities in public-facing applications.",ext to int,,,,,,6,Malware,"The rule indicates a potential successful compromise through the detection of an exploit kit domain in TLS SNI, suggesting active exploitation attempts.","exploit,sni,tls,kit,Exploit_Kit**"
2050213,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit attempting to leverage a domain associated with malicious activity, indicating an attempt to gain initial access to client endpoints through exploitation.",int to ext,,,,,,6,Malware,"The rule detects potential exploitation attempts via an exploit kit, indicating a successful compromise could occur, warranting a score above 5.","exploit,tls,domain,sni,Exploit_Kit**"
2050214,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects TLS traffic related to an exploit kit, indicating an attempt to exploit vulnerabilities in web applications to gain initial access.",ext to int,,,,,,6,Malware,"The rule indicates a potential successful compromise via an exploit kit, specifically targeting client endpoints through a TLS SNI associated with a known malicious domain.","exploit,tls,domain,sni,Exploit_Kit**"
2050215,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a specific exploit kit's domain in TLS SNI, indicating an attempt to exploit vulnerabilities in web applications to gain initial access.",int to ext,,,,,,6,Malware,"The rule detects a potential exploit kit domain in TLS SNI, indicating a successful compromise attempt related to malware distribution.","exploit,tls,domain,sni,Exploit_Kit**"
2050216,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects the use of an exploit kit, which is typically employed by attackers to gain initial access to a system by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,4,Malware,The rule detects a domain associated with an exploit kit but does not indicate a successful compromise.,"exploit,tls,domain,kit,Exploit_Kit**"
2050217,Initial Access,Initial Access,TA0001,Exploitation for Client Execution,T1203,"The rule detects potential exploitation attempts through malicious TLS SNI requests, indicating an initial compromise method that could allow attackers to deliver payloads to client endpoints.",ext to int,,,,,,6,Malware,"The rule detects a domain associated with an exploit kit, indicating a successful compromise is possible, warranting a higher impact score.","exploit,tls,domain,sni,Exploit_Kit**"
2050218,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation attempts via a TLS SNI indicating the use of an exploit kit, which aligns with initial access strategies where attackers leverage vulnerabilities in public-facing applications to gain entry.",ext to int,,,,,,6,Malware,"The rule detects a domain associated with an exploit kit, indicating a potential successful compromise of client endpoints.","exploit,tls,sni,domain,Exploit_Kit**"
2050219,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic related to an exploit kit, specifically targeting a domain associated with malicious activity, indicating an attempt to gain initial access through exploitation.",int to ext,,,,,,6,Malware,"The rule detects potential communication with an exploit kit, indicating a successful compromise could be occurring.","exploit,tls,domain,sni,Exploit_Kit**"
2050220,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation attempts through a specific domain in TLS SNI, indicative of an exploit kit targeting web browsers, which aligns with the Initial Access phase of an attack.",int to ext,,,,,,6,Malware,"The rule detects a potential exploit kit domain in TLS SNI, indicating a successful compromise could lead to malware delivery.","exploit,tls,domain,sni,Exploit_Kit**"
2050221,Initial Access,Drive-by Compromise,T1189,Malicious Link,T1203.001,"The rule detects a specific exploit kit domain in TLS SNI, indicating an attempt to compromise users via malicious links, which aligns with initial access tactics commonly used in drive-by download attacks.",int to ext,,,,,,6,Malware,"The rule detects a potential exploit kit domain in TLS SNI, indicating a possible successful compromise targeting client endpoints.","exploit,tls,domain,sni,Exploit_Kit**"
2050222,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit that targets vulnerabilities in web browsers, indicating an attempt to gain initial access through compromised websites.",int to ext,,,,,,6,Malware,"The rule detects a domain associated with an exploit kit, indicating a successful compromise could lead to malware delivery.","exploit,tls,domain,sni,Exploit_Kit**"
2050223,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a specific exploit kit's use of a domain in TLS SNI, indicating an attempt to compromise a client endpoint through a public-facing application, which aligns with the Initial Access phase.",ext to int,,,,,,6,Malware,"The rule detects a domain associated with an exploit kit, indicating a successful compromise may be occurring.","exploit,tls,domain,sni,Exploit_Kit**"
2050224,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic indicative of an exploit kit targeting a domain, suggesting an attempt to gain initial access through vulnerabilities in web applications.",ext to int,,,,,,6,Malware,"The rule detects a domain associated with an exploit kit, indicating a successful compromise attempt that could lead to malware deployment.","exploit,tls,domain,sni,Exploit_Kit**"
2050225,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic indicative of an exploit kit targeting a web application, specifically through the use of TLS SNI to communicate with a known malicious domain, which aligns with initial access attempts by attackers.",int to ext,,,,,,6,Malware,"The rule detects a potential compromise related to an exploit kit, indicating a successful attempt to exploit client endpoints.","exploit,tls,domain,kit,Exploit_Kit**"
2050226,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects the use of an exploit kit, which is typically employed to gain initial access to a victim's system through vulnerabilities in public-facing applications, indicated by the detection of specific domain patterns in TLS traffic.",ext to int,,,,,,6,Malware,"The rule detects a domain associated with an exploit kit, indicating a potential successful compromise of client endpoints.","exploit,tls,domain,sni,Exploit_Kit**"
2050227,Initial Access,Drive-by Compromise,T1189,Exploit Public-Facing Application,T1190,"The rule detects traffic indicative of an exploit kit targeting a specific domain, suggesting an attempt to compromise clients through malicious web content, which aligns with initial access techniques.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a specific exploit kit domain in TLS SNI, indicating a potential successful compromise rather than just a phishing attempt or exploit string.","exploit,tls,domain,sni,Exploit_Kit**"
2050228,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects traffic associated with an exploit kit targeting web browsers, indicating an attempt to gain initial access through vulnerabilities in public-facing applications.",int to ext,,,,,,6,Malware,"The rule detects potential exploitation activity through a known exploit kit domain, indicating a successful compromise could occur.","exploit,tls,sni,domain,Exploit_Kit**"
2050231,Initial Access,Initial Access,TA0001,Phishing,T1566,"The rule detects DNS queries for a domain associated with malware masquerading as game cheat software, indicating a potential initial access vector through deceptive means, such as phishing or malicious downloads.",ext to int,,,,,,3,Malware,"The rule detects a DNS query for a domain associated with potential malware, but it does not indicate a successful compromise.","dns,anomaly,cheat,unknown"
2050232,Initial Access,Initial Access,TA0001,Phishing,T1566,"The rule detects DNS queries for a domain associated with potential malware disguised as game cheat software, indicating an attempt to gain initial access through potentially malicious means.",ext to int,,,,,,3,Malware,"The rule detects a suspicious domain related to potential malware, but does not indicate a successful compromise.","dns,cheat,anomaly,info"
2050233,Initial Access,Initial Access,TA0001,Spear Phishing Link,T1566.002,"The rule detects a domain associated with fake game cheating software, which could be used to lure users into clicking malicious links, thus facilitating initial access to a system.",ext to int,,,,,,3,Malware,"The rule detects a domain associated with fake game cheating software, which suggests potential malicious activity but does not confirm a successful compromise.","tls,cheat,domain,anomaly"
2050234,Initial Access,Initial Access,TA0001,Phishing,T1566,"The rule detects a domain associated with fake game cheating software, which could be used to lure users into downloading malicious software, indicating an initial access attempt.",ext to int,,,,,,3,Malware,"The rule detects a domain associated with fake game cheating software, which indicates potential malicious activity but does not confirm a successful compromise.","tls,cheat,domain,anomaly"
2050235,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects suspicious POST requests related to game cheating software, indicating potential initial access through malicious software or compromised applications.",ext to int,,,,,,3,Malware,"The rule detects a POST request related to potential game cheating software, which may indicate malicious activity, but does not confirm a successful compromise.","cheat,http,anomaly,post"
2050250,Initial Access,Drive-by Compromise,T1189,Malicious Domain,TLD-1,"The rule detects DNS queries for a known malicious domain associated with exploit kits, indicating an attempt to gain initial access through compromised web content.",ext to int,,,,,,3,Malware,"The rule detects a DNS query related to an exploit kit domain, indicating potential malicious activity but not a confirmed compromise.","exploit,tds,dns,kit,Exploit_Kit, ta569, TDS**"
2050251,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects traffic related to an exploit kit, specifically targeting a domain associated with a known exploit kit, indicating an attempt to gain initial access through exploitation.",ext to int,,,,,,6,Malware,"The rule detects a potential exploit kit domain which may indicate a successful compromise attempt, warranting a higher impact score.","exploit,tds,domain,tls,Exploit_Kit, ta569, TDS**"
2050252,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects DNS queries associated with the Balada exploit kit, which is often used to compromise endpoints through malicious domains, indicating an attempt at initial access.",ext to int,,,,,,4,Malware,"The rule detects a DNS query related to an exploit kit, indicating potential malicious activity, but does not confirm a successful compromise.","dns,exploit,lookup,kit,Exploit_Kit**"
2050253,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a specific exploit kit's activity targeting clients via TLS, indicative of an initial access attempt through a compromised domain.",ext to int,,,,,,6,Malware,"The rule detects a potential exploitation attempt related to an exploit kit, which indicates a successful compromise rather than just a potential threat.","exploit,tls,domain,kit,Exploit_Kit**"
2050260,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS traffic, which can be used by attackers to establish command and control channels while evading traditional network filtering mechanisms.",ext to int,,,,,,3,Miscellaneous,The rule detects a potential anomaly related to DNS over HTTPS but does not indicate a successful compromise or a clear malicious intent.,"dns,anomaly,tls,info"
2050273,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS over HTTPS traffic, which can be used by attackers to establish command and control channels by hiding their communications within legitimate traffic.",ext to int,,,,,,2,Miscellaneous,"The rule detects a DNS over HTTPS domain, which could indicate potential misuse but does not confirm a successful compromise.","dns,https,anomaly,info"
2050281,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to an external IP lookup service that may be used by malware for command and control operations, indicating potential malicious activity.",ext to int,,,,,,2,Malware,"The rule detects a DNS query to an external IP lookup service, which is not inherently malicious. While it may be associated with malware behavior, it does not indicate a successful compromise.","dns,lookup,anomaly,informational"
2050282,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known external IP lookup domain, which could indicate malware using this service for command and control purposes, aligning with tactics and techniques associated with establishing command and control channels.",ext to int,,,,,,3,Miscellaneous,"The rule detects a potential lookup to a service that may be used by malware, but it does not indicate a successful compromise or direct malicious activity.","anomaly,tls,lookup,info"
2050286,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects DNS queries for a domain associated with an exploit kit, indicating an attempt to gain initial access through malicious web content.",ext to int,,,,,,4,Malware,"The rule detects a DNS query related to an exploit kit, indicating potential malicious activity but not a confirmed compromise.","exploit,dns,kit,lookup,Exploit_Kit**"
2050287,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects TLS traffic indicating an exploit kit targeting a specific domain, suggesting an attempt to gain initial access through a compromised web application.",ext to int,,,,,,6,Malware,"The rule detects a potential exploit kit associated with a known malware family, indicating a successful compromise could occur.","exploit,tls,domain,sni,Exploit_Kit**"
