sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2850741,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware check-in to a command-and-control server, indicating an active communication channel used for data exfiltration.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful check-in from a mobile malware Trojan that is actively communicating with a command-and-control server, indicating a potential compromise.","mobile,command,checkin,exfiltration"
2850742,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule is designed to detect mobile malware that communicates with a command-and-control server, indicating an established C2 channel for exfiltrating data.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful check-in from a mobile malware variant, indicating an active compromise and potential data exfiltration.","mobile,trojan,c2,exfiltration"
2850743,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware's check-in behavior with a command and control server, indicating an established communication channel for data exfiltration.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful check-in from a known mobile malware variant, indicating potential data exfiltration and control over the compromised device.","mobile,trojan,command,exfiltration"
2850744,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware's command-and-control communication, specifically a POST request to an external server, indicating potential data exfiltration over the established C2 channel.",ext to int,,,,,,8,Command and Control (C2),"The rule indicates a successful compromise where a mobile malware variant is communicating with a command-and-control server, suggesting active data exfiltration.","mobile,trojan,c2,exfiltration"
2850840,Initial Access,Initial Access,TA0001,Malicious Code,T1203,"The rule detects DNS queries associated with a mobile malware Trojan, indicating an attempt to establish initial access through malicious payloads targeting mobile devices.",ext to int,,,,,,4,Malware,"The rule detects a DNS lookup associated with a known mobile malware, but does not indicate a successful compromise.","trojan,dns,mobile,spyware"
2850841,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects a TLS connection to a known malicious domain associated with mobile malware, indicating an attempt to gain initial access to the target system.",ext to int,,,,,,7,Malware,"The rule indicates a potential successful compromise through a known mobile malware variant targeting Android, which can lead to significant security impacts.","mobile,trojan,tls,spy"
2850842,Initial Access,Initial Access,TA0001,Phishing,T1566,"The rule detects a DNS query associated with a known mobile malware (Trojan-Spy.AndroidOS.Realrat.b), indicating an attempt by the malware to establish initial access through a malicious domain, which aligns with initial access tactics.",ext to int,,,,,,3,Malware,"The rule detects a DNS lookup for a known malicious domain associated with mobile malware, but does not indicate a successful compromise.","trojan,dns,mobile,spyware"
2850843,Initial Access,Initial Access,TA0001,Malicious Link,T1203,"The rule detects a specific TLS SNI associated with a mobile malware, indicating an attempt to establish a connection that may lead to the initial compromise of a device.",int to ext,,,,,,7,Malware,"The rule detects a Trojan malware targeting mobile devices, indicating a successful compromise.","trojan,mobile,tls,spyware"
2850844,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects a DNS query to a known malicious domain associated with mobile malware, indicating an attempt to access or download malicious payloads, which aligns with initial access tactics.",ext to int,,,,,,3,Malware,"The rule detects a DNS lookup for a known mobile malware domain, indicating potential malicious activity but not a confirmed successful compromise.","dns,trojan,mobile,spy"
2850845,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects potential mobile malware attempting to establish a connection to a command and control server through TLS, indicating an initial access attempt via compromised mobile applications.",int to ext,,,,,,8,Malware,"The rule detects a specific Trojan malware targeting mobile devices, indicating a successful compromise.","trojan,mobile,tls,spyware"
2850935,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects an attempted download of a potentially infected file from Google Drive, indicating an initial access attempt through a drive-by download, which is characteristic of the Initial Access phase.",ext to int,,,,,,3,Malware,"The rule detects an attempted download of an infected file, but it does not confirm a successful compromise, thus a lower impact score.","info,download,anomaly,client"
