sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2825678,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware check-in, indicating it is communicating with a command and control server, which is characteristic of the Command and Control tactic and the technique for exfiltration over a C2 channel.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful check-in from a mobile malware agent, indicating potential compromise and command and control communication.","mobile,trojan,c2,exfiltration,Android**"
2825704,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware variant that communicates with a command and control server, indicating an established connection for data exfiltration.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful check-in from a mobile malware variant, indicating active communication with a command and control server, which suggests a compromised device.","mobile,trojan,c2,exfiltration,Android**"
2825765,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic indicative of the Magnitude Exploit Kit, which is designed to compromise client systems through vulnerabilities in public-facing applications, specifically targeting browser exploits.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects potential exploitation attempts via the Magnitude Exploit Kit, which can lead to successful compromises if vulnerabilities are present. Although the alert does not confirm a successful compromise, it indicates a high-risk situation that warrants immediate investigation.","exploit,landing,client,magnitude,Exploit_Kit_Magnitude**"
2825769,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects the RIG Exploit Kit, which is designed to compromise client systems through vulnerabilities in web applications, indicating an attempt to gain initial access.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a potential exploit kit landing page, which is part of a larger attack chain that could lead to successful compromises, warranting a higher impact score.","exploit,landing,kit,http,Exploit_kit_RIG**"
2825770,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation attempts via the Magnitude Exploit Kit, which targets vulnerabilities in client applications to gain initial access to the system.",ext to int,,,,,,7,Malware,"The rule detects potential exploitation attempts from an external source targeting internal client systems, indicating a successful compromise could occur if the exploit is effective.","exploit,kit,http,client,Exploit_Kit_Magnitude**"
2825796,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects a domain request associated with Android malware, indicating that the malware may have been delivered through compromised applications or malicious websites, which aligns with the Initial Access phase.",int to ext,,,,,,8,Malware,"The rule detects a domain request associated with Android malware that is capable of stealing sensitive information, indicating a successful compromise.","trojan,mobile,malware,c2,Android**"
2825811,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware trojan that communicates with a command and control server, indicating potential exfiltration of data over this channel.",ext to int,,,,,,8,Malware,"The rule detects a successful check-in of a known Trojan malware targeting Android devices, indicating a potential compromise.","trojan,mobile,command,exfiltration,Android**"
2825831,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic associated with the RIG Exploit Kit, which is designed to compromise client systems through vulnerabilities in public-facing applications, indicating initial access attempts.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a potential successful compromise via an exploit kit landing page, indicating a higher likelihood of exploitation and subsequent malware delivery.","exploitkit,landing,http,client"
2825836,Initial Access,Initial Access,TA0001,Malicious Link,T1203,"The rule detects DNS queries for a domain associated with Android malware, indicating that the malware may be attempting to gain initial access to the device by contacting a command and control server.",ext to int,,,,,,6,Malware,"The rule detects a DNS lookup for a known malicious domain associated with Android malware, indicating potential compromise of a mobile device.","dns,malware,android,trojan,Android**"
2825837,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects DNS queries associated with known mobile malware, indicating an attempt to compromise the device during the initial access phase by leveraging malicious domains.",ext to int,,,,,,6,Malware,"The rule detects a DNS query associated with a known mobile malware, indicating a potential successful compromise of the device.","mobile,dns,trojan,malware,Android**"
