sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2017782,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects potential exploitation of a vulnerability in mobile applications, specifically targeting the InMobi SDK, which can lead to unauthorized access to device functionalities like sending SMS, indicating initial access through malicious payloads.",ext to int,,,,,,7,Malware,"The rule detects potential malicious activity from external sources targeting internal devices, specifically related to malware that can compromise mobile devices.","mobile,trojan,malware,sdk"
2017783,Initial Access,Initial Access,TA0001,Supply Chain Compromise,T1195,"The rule detects potential malware activity related to the InMobi SDK, which may be used to gain initial access to a mobile device through compromised applications.",ext to int,,,,,,7,Malware,"The rule detects a potential malware payload targeting Android devices, indicating a successful compromise.","mobile,trojan,sdk,listener"
2017787,Command and Control,Command and Control,TA0011,Exfiltration Over C2 Channel,T1041,"The rule identifies command-and-control (C2) traffic from a mobile malware application, specifically detecting a beaconing behavior that indicates communication back to a malicious server for potential data exfiltration.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful communication with a known command-and-control server associated with mobile malware, indicating a high likelihood of compromise.","mobile,c2,beacon,malware,Android, c2**"
2017788,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects communication from a mobile malware application to a command and control server, indicating an established command and control channel used to send and receive data.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful compromise involving a command and control server for a mobile malware variant, indicating a high impact on network security.","mobile,malware,c2,android,Android**"
2017814,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule targets traffic patterns indicative of exploit kits that are used to gain initial access to a system by exploiting vulnerabilities in public-facing applications, specifically through crafted URIs.",ext to int,,,,,,7,Zero-Day Exploits,"The rule detects a potential successful compromise via an exploit kit targeting vulnerable web applications, indicating a significant security risk.","exploit,http,uri,kit"
2017817,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule targets network traffic indicative of an exploit kit, which is commonly used to gain initial access to a system by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule indicates a successful detection of exploit kit traffic, which is often associated with advanced threats and potential compromise of systems.","exploitkit,landingpage,http,anomaly"
2017845,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects malicious traffic associated with drive-by downloads, where users are compromised through legitimate web browsing, indicative of initial access by exploit kits.",ext to int,,,,,,6,Malware,"The rule indicates a potential drive-by download attempt, which can lead to successful compromises if the exploit is effective.","driveby,trojan,client,exploit,DriveBy**"
2017925,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known Tor bridge domain, which may indicate an attempt to establish a covert communication channel or access restricted content, aligning with Command and Control activities.",ext to int,,,,,,2,Malware,"The rule detects a DNS query for a Tor bridge domain, which may indicate an attempt to anonymize malicious activity, but does not confirm a successful compromise.","dns,lookup,anomaly,tor,IP_address_lookup_website**"
2017926,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known Tor checker domain, indicating potential use of Tor for command and control, which aligns with the Command and Control phase.",ext to int,,,,,,3,Phishing,"The rule detects a DNS query for a known Tor checker domain, indicating potential obfuscation or privacy-seeking behavior, but does not confirm a successful compromise.","dns,anomaly,external,lookup,IP_address_lookup_website**"
2017927,Discovery,Network Service Discovery,T1046,Network Service Discovery,T1046,"The rule detects HTTP requests to check.torproject.org, which can indicate an actor's attempt to discover Tor usage or related services, aligning with the Discovery phase of network reconnaissance.",int to ext,,,,,,3,Eavesdropping/Sniffing,"The rule detects a lookup to a known Tor usage site, indicating potential anonymization attempts, but does not confirm a successful compromise.","anomaly,http,external,lookup"
2017928,Discovery,Network Service Discovery,T1046,DNS Interactions,T1071.001,"The rule detects a specific TLS connection to 'check.torproject.org', which suggests the identification of services related to Tor usage, indicating reconnaissance behavior typical in the Discovery phase.",ext to int,,,,,,2,Malware,"The rule detects a lookup for a known Tor service, which indicates potential anonymous browsing but does not confirm a successful compromise or malicious activity.","anomaly,tls,sni,external"
2017929,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects TLS traffic to a known Tor bridge, which can indicate an attempt to establish a command and control channel using application layer protocols, often used by threat actors to evade detection.",int to ext,,,,,,3,Policy Violation,"The rule detects traffic to a known Tor bridge, which could indicate an attempt to bypass network restrictions or anonymize malicious activity. However, it does not indicate a successful compromise.","tls,sni,anomaly,policy"
2017931,Initial Access,Drive-by Compromise,T1189,Malicious Link,T1203,"The rule detects traffic indicative of a drive-by compromise, where users are exploited through malicious content while browsing. This aligns with the Initial Access phase as attackers aim to gain entry into the victim's system via web exploitation.",ext to int,,,,,,6,Malware,"The rule detects a potential drive-by download which could lead to a successful compromise, warranting a score above 5.","driveby,injection,trojan,client,DriveBy**"
2017933,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects HTTP traffic to a known IP lookup service, which may indicate an attempt to establish a command and control channel or exfiltrate data by resolving IP addresses, fitting the Command and Control phase.",ext to int,,,,,,3,Malware,"The rule detects a potential IP lookup related to a service that could be used for tracking or reconnaissance, but does not indicate a successful compromise.","info,anomaly,lookup,policy"
2017960,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects HTTP headers associated with Bitcoin mining, indicating potential command and control communication used by malicious actors to control compromised systems.",ext to int,,,,,,4,Cryptojacking,"The rule detects potential Bitcoin mining activity, which is typically less impactful unless coupled with evidence of a successful compromise.","coin,mining,http,anomaly"
