sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2030666,Discovery,Reconnaissance,TA0043,Network Service Discovery,T1046,"The rule detects external IP lookups via SSL/TLS certificates, indicating an attempt to gather information about the network environment, which aligns with reconnaissance activities.",ext to int,,,,,,2,Malware,The rule detects an external IP lookup related to a benign service (ifconfig.me). It indicates a potential reconnaissance activity but does not confirm a successful compromise.,"ipcheck,tls,anomaly,client"
2030694,Initial Access,Phishing,TA0011,Spear Phishing Link,T1566.002,"The rule detects an HTTP response indicating a security check often associated with phishing attempts, suggesting an initial access vector where attackers try to lure victims to malicious sites.",ext to int,,,,,,3,Phishing,The rule detects a common browser check related to potential phishing activities but does not indicate a successful compromise.,"anomaly,http,info,phishing"
2030702,Initial Access,Initial Access,TA0001,Application Layer Protocol,T1071.001,"The rule detects access to Dropbox via its API, indicating a potential initial access point for attackers leveraging cloud services for malicious purposes.",int to ext,,,,,,3,Malware,"The rule detects access to Dropbox via API, which may indicate unauthorized usage or policy violation but does not confirm a successful compromise.","policy,anomaly,api,client"
2030703,Initial Access,Drive-by Compromise,T1189,Malicious File,T1203,"The rule detects access to Dropbox via API, which could indicate an initial access vector where an attacker exploits a legitimate service to gain access to a target's environment.",ext to int,,,,,,3,Data Breach,"The rule indicates access to Dropbox via API, which may suggest unauthorized data access, but does not confirm a successful compromise.","anomaly,policy,api,client"
2030704,Initial Access,Phishing,TA0011,Malicious Link,T1566.002,"The rule detects a tech support scam, which typically involves misleading users to click on malicious links, leading to initial access through social engineering tactics.",ext to int,,,,,,4,Social Engineering,"The rule detects a tech support scam landing page, which is a form of social engineering but does not indicate a successful compromise.","scam,social,client,web"
2030705,Initial Access,Phishing,TA0011,Malicious Link,T1566.002,"The rule detects a tech support scam that uses social engineering tactics to trick users into providing sensitive information, indicating an initial access attempt through phishing.",ext to int,,,,,,4,Social Engineering,"The rule detects a tech support scam, which indicates potential malicious intent but does not confirm a successful compromise.","scam,social,client,alert"
2030799,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects a domain associated with a proxy service, which is often used for command and control purposes, indicating potential malicious activity in the network.",ext to int,,,,,,4,Command and Control (C2),"The rule detects a potential proxy service (Packity) which could indicate malicious activity, but it does not confirm a successful compromise.","proxy,tls,anomaly,c2"
2030800,Initial Access,Initial Access,TA0001,External Remote Services,T1133,"The rule detects a connection to a proxy service that could be used for initial access by an attacker, indicating potential misuse of external remote services.",ext to int,,,,,,3,Malware,"The rule detects potential proxy connections which could indicate malicious activity, but does not confirm a successful compromise.","proxy,anomaly,http,authorization"
2030819,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects suspicious HTTP POST requests to a potentially malicious endpoint (404.php), which could indicate an attempt to exploit vulnerabilities in web applications for initial access.",ext to int,,,,,,3,Miscellaneous,"The rule detects a suspicious HTTP POST request to a common file (404.php), which is indicative of potential probing or enumeration but does not confirm a successful compromise.","http,suspicious,post,anomaly"
2030822,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known malicious domain associated with mobile malware, indicating potential command and control communication.",ext to int,,,,,,6,Command and Control (C2),"The rule detects a DNS lookup associated with a known mobile malware backdoor, indicating a potential successful compromise or communication with a command and control server.","backdoor,dns,mobile,command,Android**"
2030849,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects a command-and-control (CnC) configuration retrieval by identifying specific HTTP GET requests indicative of mobile malware behavior, which is characteristic of the Command and Control phase.",int to ext,,,,,,7,Command and Control (C2),"The rule detects a successful communication attempt to a Command and Control server by malware (Android Joker), indicating a potential compromise of mobile devices.","mobile,command,c2,malware"
2030886,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects potential HTTP tunneling, which is often used by attackers to establish command and control channels over standard web traffic, indicating a command and control phase of an attack.",ext to int,,,,,,3,Malware,"The rule detects possible HTTP tunneling, which can indicate malicious activity but does not confirm a successful compromise.","http,tunnel,anomaly,policy"
