sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2000328,Exfiltration,Exfiltration Over Command and Control Channel,TA0011,Exfiltration Over Alternative Protocol,T1048,"The rule detects outbound emails being sent from non-standard SMTP servers, which could indicate data exfiltration attempts using alternative protocols.",ext to int,,,,,,3,Miscellaneous,The rule detects anomalous email behavior but does not confirm a successful compromise or malicious intent.,"anomaly,email,threshold,info"
2000345,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects IRC traffic on non-standard ports, which can indicate a command and control channel used by attackers to communicate with compromised systems.",ext to int,,,,,,3,Miscellaneous,"The rule detects a non-standard IRC Nick change, which could indicate anomalous behavior but does not confirm a successful compromise.","irc,anomaly,nick,nonstandard"
2000348,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects the use of the IRC protocol, which is often utilized for command and control communications, especially when operating over non-standard ports, indicating potential malicious activity.",ext to int,,,,,,3,Command and Control (C2),"The rule detects potential use of IRC on non-standard ports, which could indicate a C2 channel, but does not confirm a successful compromise.","irc,anomaly,nonstandard,join"
2000349,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects file transfer requests over non-standard ports, which could indicate the use of application layer protocols for command and control activities, often used to exfiltrate data or communicate with compromised hosts.",ext to int,,,,,,3,Malware,"The rule detects a non-standard IRC DCC file transfer request, which could indicate potential malware activity, but does not confirm a successful compromise.","irc,dcc,file,transfer"
2000418,Initial Access,Drive-by Compromise,T1189,Malicious File Download,T1203,"The rule detects the download of ELF files, which are commonly used in Linux environments and may indicate an attempt to deliver malicious payloads to the target system, aligning with initial access attempts.",ext to int,,,,,,3,Malware,"The rule detects the download of ELF files, which may indicate potential malware, but does not confirm a successful compromise.","elf,download,anomaly,policy"
2000571,Initial Access,Phishing,TA0011,Phishing,T1566,"The rule detects HTTP POST requests to a specific webmail URI, which could indicate an attempt to exploit users through phishing. This aligns with initial access tactics where attackers seek to gain entry through deceptive means.",int to ext,,,,,,3,Social Engineering,"The rule detects a POST request to a webmail service, indicating potential phishing or social engineering activity, but does not confirm a successful compromise.","anomaly,policy,http,info"
2001239,Discovery,Discovery,TA0007,Network Service Discovery,T1046,"The rule detects when a Cisco device is in configuration mode, which indicates that an attacker may be probing the network to gather information about devices and their configurations, fitting within the Discovery phase.",ext to int,,,,,,3,Insider Threats,"The rule detects a command indicative of a Cisco device in configuration mode, which could suggest unauthorized access but does not confirm a successful compromise.","anomaly,configuration,cisco,info"
2001240,Discovery,Discovery,TA0007,Network Service Discovery,T1046,"The rule detects a specific network configuration command that may indicate reconnaissance or configuration changes on Cisco devices, suggesting the potential for network service discovery.",ext to int,,,,,,3,Not Suspicious,"The rule detects a benign configuration message from a Cisco device, which is not indicative of a successful compromise.","anomaly,cisco,configuration,info"
2001294,Initial Access,Initial Access,TA0001,External Remote Services,T1133,"The rule detects the installation of Dameware Remote Control, which is often used for remote access. This aligns with Initial Access as attackers may use such tools to gain entry into a network.",ext to int,,,,,,5,Advanced Persistent Threats (APTs),"The rule detects the installation of Dameware Remote Control Service, which can be used for unauthorized access, indicating a potential successful compromise.","remote,control,anomaly,admin"
2001330,Initial Access,Remote Services,T1210,Exploitation of Remote Services,T1210.001,"The rule detects outbound RDP responses, indicating potential exploitation of remote services for initial access, often associated with unauthorized access attempts or lateral movement.",int to ext,,,,,,3,Miscellaneous,"The rule detects a response to an external host on an RDP connection, which indicates a potentially established connection but does not confirm a successful compromise.","rdp,anomaly,response,client"
2001811,Initial Access,Drive-by Compromise,T1189,Malicious JavaScript,T1203.003,"The rule targets encoded JavaScript payloads that are commonly used in drive-by download attacks, which are a form of initial access. These attacks exploit vulnerabilities in web browsers to deliver malicious code to the client.",ext to int,,,,,,6,Malware,"The rule detects potentially hostile encoded JavaScript used in web client attacks, indicating a successful compromise of client endpoints.","javascript,webclient,obfuscation,exploitkit,Web_Client_Attacks**"
2002087,Initial Access,Phishing,TA0011,Email Collection,T1114,"The rule detects frequent inbound emails that may indicate a spambot, suggesting an initial access vector where attackers use email to compromise users or systems.",ext to int,,,,,,3,Malware,"The rule detects frequent inbound emails that may indicate spambot activity, which is a potential threat but does not confirm a successful compromise.","email,anomaly,spambot,threshold"
2002167,Discovery,Discovery,TA0007,Application Layer Protocol,T1071,"The rule detects HTTP traffic with a specific User-Agent associated with Wise Solutions, indicating potential reconnaissance or discovery of applications using this installer. This could suggest an attempt to gather information about the environment or installed applications.",int to ext,,,,,,3,Miscellaneous,"The rule detects a user agent associated with Wise Solutions, which is an installer that has been End Of Life since 2009. The detection does not indicate a successful compromise, and the potential threat level is low.","anomaly,http,user_agent,information"
2002330,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects specific traffic patterns associated with Google Talk, which could indicate the use of a legitimate application for command and control purposes. This aligns with the tactic of Command and Control, as attackers may leverage such applications to maintain communication with compromised systems.",ext to int,,,,,,3,Social Engineering,"The rule detects traffic related to Google Talk, which may indicate potential policy violations or misuse, but does not confirm a successful compromise.","anomaly,policy,traffic,tls"
2002801,Discovery,Reconnaissance,TA0043,Application Layer Protocol,T1071,"The rule detects a specific User-Agent associated with Google Desktop, which could signify reconnaissance activity as attackers may use such tools to gather information about a target's environment.",int to ext,,,,,,3,Policy Violation,"The rule detects a User-Agent string related to Google Desktop, which is not inherently malicious and does not indicate a successful compromise.","anomaly,user-agent,policy,info"
2002823,Discovery,Reconnaissance,TA0043,Gather Victim Information,T1592,"The rule detects the use of Wget, a tool commonly used for web crawling, which can indicate reconnaissance activity aimed at gathering information about a target network.",ext to int,,,,,,3,Attempted Recon,"The rule detects potential web crawling using Wget, which is not indicative of a successful compromise, but rather an attempted reconnaissance activity.","web,crawl,recon,anomaly"
2002825,Discovery,Reconnaissance,TA0043,Network Service Scanning,T1046,"The rule detects the use of the 'curl' user agent, which is often employed for web crawling and reconnaissance activities to gather information about network services, indicating potential discovery behavior.",ext to int,,,,,,3,Attempted Recon,"The rule detects potential web crawling using Curl, which may indicate reconnaissance activity but does not confirm a successful compromise.","webcrawl,anomaly,recon,http"
